Tgroup,day,lnwt,day-22.4
1,9,2.76312,-13.4
1,9,2.8322,-13.4
1,9,2.80917,-13.4
1,15,3.40785,-7.4
1,15,3.66113,-7.4
1,15,3.40785,-7.4
1,22,4.21376,-0.4
1,22,4.02955,-0.4
1,22,4.09863,-0.4
1,30,4.95059,7.6
1,30,4.6973,7.6
1,30,4.74336,7.6
1,37,5.31901,14.6
1,37,5.2269,14.6
1,37,5.15782,14.6
2,8,3.10851,-14.4
2,8,3.01641,-14.4
2,8,3.01641,-14.4
2,18,4.21376,-4.4
2,18,4.32889,-4.4
2,18,4.05258,-4.4
2,23,4.88181,0.6
2,23,4.65125,0.6
2,23,4.81243,0.6
2,30,5.15782,7.6
2,30,5.29598,7.6
2,30,5.29598,7.6
2,36,5.52624,13.6
2,36,5.48019,13.6
2,36,5.48019,13.6
3,7,2.99338,-15.4
3,7,3.01641,-15.4
3,7,3.13154,-15.4
3,14,4.23678,-8.4
3,14,4.25981,-8.4
3,14,4.09863,-8.4
3,22,4.74336,-0.4
3,22,4.83546,-0.4
3,22,4.74336,-0.4
3,29,5.24993,6.6
3,29,5.27295,6.6
3,29,5.36506,6.6
3,36,5.89466,13.6
3,36,5.81558,13.6
3,36,5.82558,13.6
